Vehicle Type,Count
motorcycle,11
car,2

Timestamp,Vehicle ID,Vehicle Type,Confidence
2025-04-07 13:44:44,3,motorcycle,0.49
2025-04-07 13:45:13,70,motorcycle,0.62
2025-04-07 13:45:17,48,motorcycle,0.65
2025-04-07 13:45:18,61,motorcycle,0.46
2025-04-07 13:45:21,52,car,0.87
2025-04-07 13:45:23,106,motorcycle,0.6
2025-04-07 13:45:34,127,motorcycle,0.67
2025-04-07 13:45:41,136,motorcycle,0.57
2025-04-07 13:45:44,155,car,0.91
2025-04-07 13:45:58,231,motorcycle,0.6
2025-04-07 13:46:12,252,motorcycle,0.54
2025-04-07 13:46:22,220,motorcycle,0.67
2025-04-07 13:46:31,298,motorcycle,0.74
